district_code,district_name,localbody_code,localbody_name
317,MEDINIPUR EAST,110218,PADUMPUR-II
306,PURBA BARDHAMAN,108735,PAHALANPUR
319,MURSHIDABAD,110721,PAHARPUR
314,JALPAIGURI,109771,PAHARPUR
309,DARJEELING,261049,PAHELIGAON SCHOOL DARA-I
309,DARJEELING,261050,PAHELIGAON SCHOOL DARA-II
319,MURSHIDABAD,110671,PAIKAPARA
307,BIRBHUM,108846,PAIKAR-I
307,BIRBHUM,108847,PAIKAR-II
307,BIRBHUM,108857,PAIKPARA
306,PURBA BARDHAMAN,108736,PAINTA-I
306,PURBA BARDHAMAN,108737,PAINTA-II
305,BANKURA,108311,PAKHANNA
316,MALDAH,109861,PAKUAHAT
318,MEDINIPUR WEST,110456,PAKURSENI
318,MEDINIPUR WEST,110293,PALASHPAI
312,HOOGHLY,109480,PALASHPAI-I
312,HOOGHLY,109481,PALASHPAI-II
320,NADIA,110948,PALASIPARA
317,MEDINIPUR EAST,110194,PALDHUI
306,PURBA BARDHAMAN,108657,PALIGRAM
306,PURBA BARDHAMAN,108632,PALITA
320,NADIA,110828,PALITBEGIA
303,24 PARAGANAS NORTH,107867,PALLA
307,BIRBHUM,108838,PALSA
306,PURBA BARDHAMAN,108727,PALSONA
306,PURBA BARDHAMAN,108617,PALSONA
320,NADIA,110949,PALSUNDA-I
320,NADIA,110950,PALSUNDA-II
318,MEDINIPUR WEST,110425,PALSYA
304,24 PARAGANAS SOUTH,108035,PANAKUA
312,HOOGHLY,109495,PANCHAGARA-TOREGRAM
305,BANKURA,108457,PANCHAL
304,24 PARAGANAS SOUTH,108047,PANCHANAN
313,HOWRAH,109690,PANCHARUL
318,MEDINIPUR WEST,110278,PANCHBERIA
317,MEDINIPUR EAST,110175,PANCHET
704,PASCHIM BARDHAMAN,108498,PANCHGECHHIA
312,HOOGHLY,109391,PANCHGHORA
319,MURSHIDABAD,110688,PANCHGRAM
318,MEDINIPUR WEST,110433,PANCHKHURI-I
318,MEDINIPUR WEST,110434,PANCHKHURI-II
313,HOWRAH,109645,PANCHLA
305,BANKURA,108466,PANCHMURA
313,HOWRAH,109659,PANCHPARA
307,BIRBHUM,108791,PANCHRA
