district_code,district_name,block_code,block_name
310,DINAJPUR DAKSHIN,2877,TAPAN
312,HOOGHLY,2904,TARAKESWAR
320,NADIA,3042,TEHATTA-I
320,NADIA,3043,TEHATTA-II
304,24 PARAGANAS SOUTH,2773,THAKURPUKUR MAHESTOLA
308,COOCHBEHAR,2856,TUFANGANJ-I
308,COOCHBEHAR,2857,TUFANGANJ-II
313,HOWRAH,2916,UDAYNARAYANPUR
313,HOWRAH,2917,ULUBERIA-I
313,HOWRAH,2918,ULUBERIA-II
305,BANKURA,2795,VISHNUPUR
303,24 PARAGANAS NORTH,,
315,KOLKATA,,
