district_code,district_name,subdistrict_code,subdistrict_name
309,DARJEELING,2155,Rangli Rangliot
305,BANKURA,2375,Ranibundh
704,PASCHIM BARDHAMAN,2271,Raniganj
319,MURSHIDABAD,2236,Raninagar - I
319,MURSHIDABAD,2233,Raninagar - II
316,MALDAH,2212,Ratua - I
316,MALDAH,2213,Ratua - II
318,MEDINIPUR WEST,2464,Sabang
304,24 PARAGANAS SOUTH,2438,Sagar
319,MURSHIDABAD,2230,Sagardighi
317,MEDINIPUR EAST,2473,Sahid Matangini
307,BIRBHUM,2261,Sainthia
704,PASCHIM BARDHAMAN,2268,Salanpur
318,MEDINIPUR WEST,2452,Salbani
305,BANKURA,2356,Saltora
319,MURSHIDABAD,2224,Samserganj
303,24 PARAGANAS NORTH,2334,Sandeshkhali - I
303,24 PARAGANAS NORTH,2335,Sandeshkhali - II
313,HOWRAH,2404,Sankrail
703,Jhargram,2459,Sankrail
320,NADIA,2311,Santipur
321,PURULIA,2384,Santuri
305,BANKURA,2377,Sarenga
312,HOOGHLY,2350,Serampur Uttarpara
313,HOWRAH,2410,Shyampur - I
313,HOWRAH,2411,Shyampur - II
305,BANKURA,2372,Simlapal
312,HOOGHLY,2349,Singur
308,COOCHBEHAR,2189,Sitai
308,COOCHBEHAR,2190,Sitalkuchi
305,BANKURA,2364,Sonamukhi
304,24 PARAGANAS SOUTH,2417,Sonar pur
307,BIRBHUM,2259,Suri - I
307,BIRBHUM,2260,Suri - II
317,MEDINIPUR EAST,2482,Sutahata
319,MURSHIDABAD,2225,Suti - I
319,MURSHIDABAD,2226,Suti - II
303,24 PARAGANAS NORTH,2319,Swarupnagar
305,BANKURA,2371,Taldangra
317,MEDINIPUR EAST,2472,Tamluk
310,DINAJPUR DAKSHIN,2205,Tapan
312,HOOGHLY,2342,Tarakeswar
320,NADIA,2301,Tehatta - I
320,NADIA,2302,Tehatta - II
304,24 PARAGANAS SOUTH,2412,Thakurpukur Mahestola
308,COOCHBEHAR,2185,Tufanganj - I
308,COOCHBEHAR,2186,Tufanganj - II
313,HOWRAH,2398,Udaynarayanpur
313,HOWRAH,2407,Uluberia - I
313,HOWRAH,2406,Uluberia - II
305,BANKURA,2369,Vishnupur
304,24 PARAGANAS SOUTH,,
307,BIRBHUM,,
315,KOLKATA,,
