location_id,state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,block_code,block_name,localbody_code,localbody_name,village_code,village_name,village_status,census_2011_code
MED-WB-VIL-008278,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108773,PARULIA,318082,Kalasona,Inhabitant,318082.0
MED-WB-VIL-008279,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108772,PADUMA,318290,Kalyanpur,Inhabitant,318290.0
MED-WB-VIL-008280,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108765,BALIJURI,318242,Kamalpur,Inhabitant,318242.0
MED-WB-VIL-008281,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108771,LOBA,318204,Kamalpur,Inhabitant,318204.0
MED-WB-VIL-008282,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108771,LOBA,318215,Kanaipur,Inhabitant,318215.0
MED-WB-VIL-008283,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108765,BALIJURI,318205,Kanak,Un-Inhabitant,318205.0
MED-WB-VIL-008284,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108772,PADUMA,318291,Kanchannagar,Inhabitant,318291.0
MED-WB-VIL-008285,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108772,PADUMA,318266,Kandighi,Inhabitant,318266.0
MED-WB-VIL-008286,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108769,JASHPUR,318257,Kantari,Inhabitant,318257.0
MED-WB-VIL-008287,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108765,BALIJURI,318140,Kapastari,Inhabitant,318140.0
MED-WB-VIL-008288,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108773,PARULIA,318088,Karamtal,Inhabitant,318088.0
MED-WB-VIL-008289,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108772,PADUMA,318288,Karkari,Inhabitant,318288.0
MED-WB-VIL-008290,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108773,PARULIA,318085,Kashthagaria,Inhabitant,318085.0
MED-WB-VIL-008291,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318293,Katapalan,Inhabitant,318293.0
MED-WB-VIL-008292,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318155,Kaythanpur,Inhabitant,318155.0
MED-WB-VIL-008293,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318159,Kedarbandh,Un-Inhabitant,318159.0
MED-WB-VIL-008294,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108768,HETAMPUR,318228,Kendula,Inhabitant,318228.0
MED-WB-VIL-008295,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108772,PADUMA,318271,Khagra,Inhabitant,318271.0
MED-WB-VIL-008296,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108772,PADUMA,318273,Khandagram,Inhabitant,318273.0
MED-WB-VIL-008297,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108767,GOHALIARA,318190,Khanpur,Un-Inhabitant,318190.0
MED-WB-VIL-008298,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318178,Khayerban,Inhabitant,318178.0
MED-WB-VIL-008299,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108771,LOBA,318240,Khoj Kamalpur,Inhabitant,318240.0
MED-WB-VIL-008300,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108769,JASHPUR,318249,Khoj Mahammadpur,Inhabitant,318249.0
MED-WB-VIL-008301,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108770,LAXMI-NARAYANPUR,318136,Kholakunri,Inhabitant,318136.0
MED-WB-VIL-008302,19,WEST BENGAL,307,BIRBHUM,2266,Dubrajpur,2828,DUBRAJPUR,108773,PARULIA,318080,Khoshbaspur,Inhabitant,318080.0
